SO2,NO2,O3,CO,PM10,PM2.5,total_bad
0.004,0.071,0.004,1.2,80.0,44.0,0
0.005,0.044000000000000004,0.011000000000000001,0.4,48.0,29.0,0
0.004,0.047,0.009000000000000001,0.6,16.0,11.0,0
0.002,0.017,0.053,0.4,20.0,15.0,0
0.003,0.006999999999999999,0.040999999999999995,0.3,5.0,1.0,0
0.003,0.055999999999999994,0.005,1.1,44.0,31.0,0
0.005,0.021,0.011000000000000001,0.5,56.0,38.0,0
0.003,0.005,0.037000000000000005,0.3,33.0,6.0,0
0.003,0.062,0.002,1.0,39.0,18.0,0
0.004,0.013999999999999999,0.015,0.4,6.0,3.0,0
0.006,0.051,0.002,0.8,41.0,21.0,0
0.002,0.011000000000000001,0.052000000000000005,0.3,18.0,6.0,0
0.003,0.004,0.049,0.3,27.0,14.0,0
0.005,0.012,0.018000000000000002,0.6,11.0,9.0,0
0.004,0.023,0.032,0.3,8.0,5.0,0
0.003,0.026000000000000002,0.01,0.5,32.0,18.0,0
0.005,0.07200000000000001,0.002,1.3,45.0,29.0,0
0.008,0.025,0.018000000000000002,0.8,179.0,115.0,0
0.002,0.023,0.001,0.5,19.0,14.0,0
0.006999999999999999,0.017,0.036000000000000004,0.6,85.0,51.0,0
0.006999999999999999,0.022000000000000002,0.046,0.4,24.0,15.0,0
0.004,0.021,0.019,0.4,19.0,15.0,0
0.003,0.005,0.04,0.5,25.0,6.0,0
0.005,0.034,0.006999999999999999,0.5,25.0,10.0,0
0.002,0.026000000000000002,0.003,0.5,32.0,13.0,0
0.003,0.006999999999999999,0.064,0.4,25.0,11.0,0
0.003,0.018000000000000002,0.025,0.5,44.0,30.0,0
0.01,0.055,0.003,0.9,41.0,26.0,0
0.004,0.013000000000000001,0.046,0.3,20.0,9.0,0
0.005,0.033,0.004,0.6,30.0,6.0,0
0.002,0.008,0.037000000000000005,0.3,5.0,1.0,0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
0.003,0.01,0.046,0.2,8.0,4.0,0
0.005,0.027999999999999997,0.035,0.5,985.0,21.0,0
0.003,0.035,0.005,0.4,27.0,17.0,0
0.002,0.01,0.027000000000000003,0.3,10.0,5.0,0
0.004,0.016,0.04,0.4,24.0,21.0,0
0.004,0.017,0.076,0.3,21.0,17.0,0
0.003,0.025,0.013999999999999999,0.6,26.0,11.0,0
0.002,0.012,0.04,0.3,7.0,7.0,0
0.003,0.009000000000000001,0.021,0.4,5.0,4.0,0
0.003,0.021,0.0,0.5,28.0,14.0,0
0.006999999999999999,0.071,0.003,1.3,68.0,44.0,0
0.009000000000000001,0.052000000000000005,0.004,1.4,59.0,34.0,0
0.004,0.034,0.003,0.6,30.0,20.0,0
0.002,0.047,0.006999999999999999,0.4,39.0,20.0,0
0.004,0.013000000000000001,0.034,0.2,21.0,14.0,0
0.004,0.006,0.036000000000000004,0.6,161.0,19.0,0
0.004,0.033,0.064,0.9,84.0,56.0,0
0.006,0.046,0.005,0.6,65.0,27.0,0
0.003,0.021,0.046,0.4,32.0,14.0,0
0.002,0.015,0.076,0.6,22.0,8.0,0
0.004,0.028999999999999998,0.023,0.5,58.0,29.0,0
0.004,0.022000000000000002,0.107,0.4,48.0,32.0,0
0.004,0.033,0.023,0.8,43.0,29.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.004,0.044000000000000004,0.004,0.6,52.0,27.0,0
0.003,0.052000000000000005,0.002,0.6,45.0,22.0,0
0.003,0.012,0.054000000000000006,0.3,33.0,14.0,0
0.005,0.023,0.02,0.4,20.0,9.0,0
0.004,0.038,0.002,0.7,49.0,35.0,0
0.004,0.021,0.013999999999999999,0.4,24.0,17.0,0
0.006,0.019,0.078,0.4,42.0,20.0,0
0.008,0.042,0.035,0.7,27.0,22.0,0
0.01,0.052000000000000005,0.009000000000000001,0.5,53.0,36.0,0
0.006999999999999999,0.059000000000000004,0.002,1.1,49.0,32.0,0
0.002,0.017,0.046,0.4,50.0,42.0,0
0.006,0.033,0.021,0.4,63.0,28.0,0
0.004,0.040999999999999995,0.008,0.6,40.0,23.0,0
0.005,0.042,0.003,0.5,33.0,22.0,0
0.003,0.01,0.033,0.2,19.0,16.0,0
0.003,0.013000000000000001,0.086,0.3,48.0,31.0,0
0.003,0.012,0.019,0.2,14.0,11.0,0
0.004,0.022000000000000002,0.044000000000000004,0.7,46.0,28.0,0
0.004,0.051,0.009000000000000001,0.5,6.0,11.0,0
0.005,0.049,0.002,0.6,34.0,15.0,0
0.003,0.027000000000000003,0.022000000000000002,0.5,59.0,17.0,0
0.008,0.09300000000000001,0.003,1.1,140.0,96.0,0
0.009000000000000001,0.027999999999999997,0.018000000000000002,0.7,102.0,51.0,0
0.005,0.028999999999999998,0.016,0.8,30.0,18.0,0
0.004,0.05,0.003,0.8,35.0,24.0,0
0.006,0.012,0.019,0.4,32.0,7.0,0
0.002,0.055999999999999994,0.004,0.7,56.0,29.0,0
